SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
699,Stellar,XLM,7/4/2016 23:59,0.00199966,0.00184251,0.00192919,0.00193549,99561.89844,10617478.01
700,Stellar,XLM,7/5/2016 23:59,0.00196034,0.00183404,0.00193218,0.00186887,81722.5,10252022.03
701,Stellar,XLM,7/6/2016 23:59,0.00193739,0.00183079,0.00186906,0.00184601,45332.10156,10126619.39
702,Stellar,XLM,7/7/2016 23:59,0.00185541,0.00169721,0.00184663,0.00174005,71044,9545356.785
703,Stellar,XLM,7/8/2016 23:59,0.00186951,0.00172974,0.00173965,0.00186951,63067.19922,10255532.87
704,Stellar,XLM,7/9/2016 23:59,0.00183013,0.00173219,0.00182362,0.00176335,29462.5,9673173.119
705,Stellar,XLM,7/10/2016 23:59,0.00188692,0.00175085,0.00176304,0.00185151,52317.30078,10156790.63
706,Stellar,XLM,7/11/2016 23:59,0.00188105,0.00175454,0.00185117,0.00180905,73548,9923868.677
707,Stellar,XLM,7/12/2016 23:59,0.00204145,0.00181064,0.00181651,0.00199071,206642,10920397.23
708,Stellar,XLM,7/13/2016 23:59,0.00231532,0.00196967,0.00197059,0.00216437,472760,11873040.35
709,Stellar,XLM,7/14/2016 23:59,0.00219496,0.00195758,0.00215426,0.00203867,208913,11183490.43
710,Stellar,XLM,7/15/2016 23:59,0.00206877,0.00194555,0.00203938,0.00197684,55698.39844,10844310.86
711,Stellar,XLM,7/16/2016 23:59,0.00200104,0.00190592,0.00197273,0.00192609,34166.69922,10565912.62
712,Stellar,XLM,7/17/2016 23:59,0.00194654,0.00189474,0.0019261,0.00192503,40946.60156,10560097.8
713,Stellar,XLM,7/18/2016 23:59,0.00199163,0.00190574,0.0019267,0.00198155,36209.10156,10870148.41
714,Stellar,XLM,7/19/2016 23:59,0.00198512,0.00189719,0.00198512,0.00190004,38328.5,10741123.21
715,Stellar,XLM,7/20/2016 23:59,0.00191315,0.00184885,0.00189996,0.0018623,29103.90039,10527775.07
716,Stellar,XLM,7/21/2016 23:59,0.00188118,0.0018135,0.00188118,0.00183882,33816.60156,10395040.2
717,Stellar,XLM,7/22/2016 23:59,0.00188842,0.00180903,0.00184044,0.00182399,28249.30078,10311204.67
718,Stellar,XLM,7/23/2016 23:59,0.00220701,0.00181587,0.00182888,0.00208432,184081,11782877.16
719,Stellar,XLM,7/24/2016 23:59,0.00229736,0.00198703,0.00210218,0.00225299,365060,12736386.17
720,Stellar,XLM,7/25/2016 23:59,0.00233628,0.00209212,0.00227396,0.00214325,126331,12116014.56
721,Stellar,XLM,7/26/2016 23:59,0.00217285,0.00191261,0.00214793,0.00193904,85306.39844,10961594.25
722,Stellar,XLM,7/27/2016 23:59,0.0020156,0.00188187,0.00193849,0.00193129,42518.30078,10917782.7
723,Stellar,XLM,7/28/2016 23:59,0.00198594,0.0019013,0.00193136,0.00194805,26245.5,11012528.72
724,Stellar,XLM,7/29/2016 23:59,0.00203951,0.00193913,0.00194916,0.00201306,20760.90039,11380036.99
725,Stellar,XLM,7/30/2016 23:59,0.00202744,0.00192364,0.0020131,0.00194006,29194.80078,10967360.42
726,Stellar,XLM,7/31/2016 23:59,0.00196166,0.00186353,0.00194009,0.00191567,41971,10829481.22
727,Stellar,XLM,8/1/2016 23:59,0.0019558,0.00187436,0.00191472,0.00187436,44883.30078,10595951.5
728,Stellar,XLM,8/2/2016 23:59,0.00190585,0.00169271,0.00188552,0.00173612,68214.20313,9814466.443
729,Stellar,XLM,8/3/2016 23:59,0.00184717,0.0017552,0.00177286,0.0018036,74610.89844,10195937.88
730,Stellar,XLM,8/4/2016 23:59,0.00190272,0.00180074,0.00180074,0.0018789,29099.40039,10621616.59
731,Stellar,XLM,8/5/2016 23:59,0.00195644,0.00182241,0.001879,0.00190024,69207.20313,10742253.83
732,Stellar,XLM,8/6/2016 23:59,0.00198207,0.00187943,0.00189985,0.00195552,60716.80078,11054757.4
733,Stellar,XLM,8/7/2016 23:59,0.00198043,0.00186272,0.00195613,0.00188834,18833.40039,10674981.89
734,Stellar,XLM,8/8/2016 23:59,0.00191002,0.00182391,0.00188733,0.00184846,26338.19922,10449536.12
735,Stellar,XLM,8/9/2016 23:59,0.0018925,0.00184119,0.00184865,0.00187079,24533.09961,10575769.92
736,Stellar,XLM,8/10/2016 23:59,0.00193436,0.00186087,0.00187054,0.00189196,34673.80078,10695446.13
737,Stellar,XLM,8/11/2016 23:59,0.00191403,0.00186588,0.00188989,0.00188872,24310,10677130.07
738,Stellar,XLM,8/12/2016 23:59,0.00189328,0.00171491,0.00188856,0.00183107,75248.20313,10351228.64
739,Stellar,XLM,8/13/2016 23:59,0.00211402,0.0018099,0.00183091,0.00203837,224229,11523117.04
740,Stellar,XLM,8/14/2016 23:59,0.00214397,0.0019567,0.00204182,0.00200522,109736,11335716.66
741,Stellar,XLM,8/15/2016 23:59,0.00206625,0.00197769,0.00199708,0.00201894,73171.29688,11413277.24
742,Stellar,XLM,8/16/2016 23:59,0.00206223,0.00194375,0.00202198,0.00201607,35419.69922,11397052.83
743,Stellar,XLM,8/17/2016 23:59,0.00201961,0.00194445,0.00201647,0.00199345,26694.30078,11269179.62
744,Stellar,XLM,8/18/2016 23:59,0.00201301,0.00195998,0.00199718,0.00197586,19779.59961,11169741.53
745,Stellar,XLM,8/19/2016 23:59,0.00198424,0.00193092,0.00197621,0.00196287,17689.40039,11096307.71
746,Stellar,XLM,8/20/2016 23:59,0.00197217,0.00189837,0.00196988,0.00192994,21146.59961,10910151.01
747,Stellar,XLM,8/21/2016 23:59,0.00195411,0.00189956,0.00192987,0.00190801,17520.30078,10786178.44
748,Stellar,XLM,8/22/2016 23:59,0.00195611,0.00189935,0.00191022,0.00191943,13561.2998,10850736.89
749,Stellar,XLM,8/23/2016 23:59,0.00194102,0.00187794,0.00192356,0.00187794,16207.40039,10616189.61
750,Stellar,XLM,8/24/2016 23:59,0.00191199,0.00186644,0.00187764,0.0018885,6614,10675886.39
751,Stellar,XLM,8/25/2016 23:59,0.0018925,0.00186052,0.00188867,0.00187357,10011.7002,10591485.55
752,Stellar,XLM,8/26/2016 23:59,0.00193582,0.00185415,0.00185646,0.00188841,49643.10156,10675377.61
753,Stellar,XLM,8/27/2016 23:59,0.00191318,0.00184405,0.00188839,0.00186216,16952.80078,10526983.64
754,Stellar,XLM,8/28/2016 23:59,0.00188224,0.00174287,0.00186104,0.00180761,47598.10156,10218606.83
755,Stellar,XLM,8/29/2016 23:59,0.00187741,0.00178603,0.00181909,0.00183021,29491.40039,10346366.97
756,Stellar,XLM,8/30/2016 23:59,0.00188256,0.00181956,0.00183013,0.00185031,16263.40039,10459994.36
757,Stellar,XLM,8/31/2016 23:59,0.00192459,0.00182239,0.00185025,0.00190603,28165,10774985.3
758,Stellar,XLM,9/1/2016 23:59,0.00192973,0.00187478,0.00190634,0.00188677,25271.90039,10666106.52
759,Stellar,XLM,9/2/2016 23:59,0.0019129,0.00185744,0.00188723,0.001885,15997.40039,10656100.53
760,Stellar,XLM,9/3/2016 23:59,0.00192575,0.00184623,0.00188494,0.00190209,16974.80078,10752712.07
761,Stellar,XLM,9/4/2016 23:59,0.00197134,0.00184481,0.00190286,0.00193408,36103.69922,10933554.86
762,Stellar,XLM,9/5/2016 23:59,0.00195089,0.00189692,0.00194225,0.00191179,27784.80078,10807547.17
763,Stellar,XLM,9/6/2016 23:59,0.00194008,0.00189991,0.00191211,0.00192451,14360.2002,10879454.65
764,Stellar,XLM,9/7/2016 23:59,0.00194646,0.0019008,0.00192462,0.00192512,29307.30078,10882903.05
765,Stellar,XLM,9/8/2016 23:59,0.00198912,0.00192515,0.00192515,0.0019308,17421.80078,10915012.68
766,Stellar,XLM,9/9/2016 23:59,0.00202792,0.00191041,0.00192989,0.00202036,51985.69922,11421304.65
767,Stellar,XLM,9/10/2016 23:59,0.00223126,0.00199574,0.00200295,0.00203166,173430,11485184.72
768,Stellar,XLM,9/11/2016 23:59,0.00208077,0.00194619,0.00202339,0.00196647,51896.39844,11116658.89
769,Stellar,XLM,9/12/2016 23:59,0.00199447,0.00189625,0.00192632,0.0019404,25450.80078,10969282.47
770,Stellar,XLM,9/13/2016 23:59,0.00199336,0.00191481,0.00194137,0.00195064,62818.30078,11027170.25
771,Stellar,XLM,9/14/2016 23:59,0.0019771,0.00191127,0.00194634,0.0019634,13080.90039,11099303.86
772,Stellar,XLM,9/15/2016 23:59,0.00256519,0.00190032,0.00196327,0.00231928,555936,13111130.41
773,Stellar,XLM,9/16/2016 23:59,0.00233554,0.00207766,0.00230363,0.00208244,204787,12687076.44
774,Stellar,XLM,9/17/2016 23:59,0.00219823,0.00206962,0.00208193,0.00216205,39092.69922,13172093.12
775,Stellar,XLM,9/18/2016 23:59,0.00216813,0.00208244,0.00216207,0.00208965,57507.5,12731002.71
776,Stellar,XLM,9/19/2016 23:59,0.00217047,0.00206762,0.00208924,0.00212725,48729,12960077.29
777,Stellar,XLM,9/20/2016 23:59,0.00213137,0.00199993,0.00212724,0.00205239,79812.89844,12503999.54
778,Stellar,XLM,9/21/2016 23:59,0.0021187,0.00199817,0.00205544,0.00208525,53003.10156,12704196.11
779,Stellar,XLM,9/22/2016 23:59,0.00216939,0.00206182,0.00208542,0.0021376,67088.20313,13023133.72
780,Stellar,XLM,9/23/2016 23:59,0.00214145,0.00203264,0.00213777,0.00208282,47176.30078,12689391.55
781,Stellar,XLM,9/24/2016 23:59,0.00232017,0.00206226,0.00206787,0.00221931,75068.79688,13520944.47
782,Stellar,XLM,9/25/2016 23:59,0.00250055,0.00216664,0.00221251,0.00245407,366417,14951198.43
783,Stellar,XLM,9/26/2016 23:59,0.00265096,0.00233621,0.00245862,0.00238528,379360,14532101.61
784,Stellar,XLM,9/27/2016 23:59,0.00260125,0.00234093,0.00238447,0.00254913,136361,15530342.84
785,Stellar,XLM,9/28/2016 23:59,0.00337607,0.00244255,0.00255575,0.00314919,1211050,19186153.86
786,Stellar,XLM,9/29/2016 23:59,0.00331433,0.00303227,0.00313591,0.00306608,484615,18679813.74
787,Stellar,XLM,9/30/2016 23:59,0.00305448,0.00279872,0.00301697,0.00284722,320074,17346429.08
788,Stellar,XLM,10/1/2016 23:59,0.00292671,0.00270614,0.00283942,0.00276312,187694,16834057.47
